,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score
792,792,US,2418139,R2OQZ4EB82IOSM,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,1,162,260,N,Y,Caught Fire During Use after 3 Months!,"Malfunctioned!  Ordered this blowdryer in March 2015 for occasional use at home (I am a guy with short hair - so I barely use it daily).  It malfunctioned only THREE months later in June 2015.  I was drying my hair one morning and flames shot from the dryer at my head - I did not get burned (nor did my hair) but it was pretty surreal to see the dryer nearly on fire.  Unfortunately, they are no longer available - I have no way to contact the seller and so I am stuck buying another dryer. I have included a picture to show the extent of the glowing fire at the end of this dyer.  Buy this Allure hair dryer at your own risk!  If the seller reads this review - I would appreciate being contacted for replacement.  Thanks!",6/24/2015,62.30769230769231
862,862,US,45196946,R35QL2ZACGT6DC,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,Beauty,1,11,11,N,Y,I am very disappointed.,"I purchased this item less than 3 months ago. After using the product for about 4 weeks, I noticed that the handle got incredibly hot...too hot for me to hold without it burning my hand. Today, less than 12 weeks after purchasing, the hair dryer started smoking and completely shut down. Needless to say, I am very disappointed.",6/18/2015,100.0
995,995,US,28597406,R45E5WY8GZPIH,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,Beauty,1,10,12,N,Y,What a disappointment!,"I have always bought Conair products in the past, so I never expected this purchase to be problematic.  The dryer works fine, but none of the attachments fit tightly and they fall off with the slightest touch.  It's a huge design error and frustrating as can be.  I would never recommend this product.",6/8/2015,83.33333333333331
1006,1006,US,49029879,RCJ7WSDB3K6MR,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,Beauty,1,34,42,N,Y,Too bad Conair is diluting their brand with this junk,Purchased to replace an older Conair 1875.  The GFCI plug on this unit failed after 45 days of normal use.<br /><br />In the future I will look for a dryer with a UL safety listing.<br /><br />Too bad Conair is diluting their brand with this junk.,6/7/2015,80.95238095238095
1113,1113,US,28214472,R3B7515BHAJ77U,B00QNC39TI,828468145,mhd professional salon grade 1875w low noise ionic ceramic ac infrared heat hair dryer plus one concentrator and one diffuser black color,Beauty,5,42,44,N,Y,"Shiny, silky, compliment-worthy hair!","LOVE this hairdryer!! I keep getting compliments on my hair lately and the only thing I've done differently is to start using this blow dryer (with no cut or professional styling in months)! The small diffuser was a tight fit at first, but the more I've used it, the easier it's gotten. I guess the little tabs had to be rubbed down a bit. Never had a problem with the curling diffuser. 2 months in and am satisfied so far!",5/27/2015,95.45454545454544
1145,1145,US,52290874,R199FV0NDPDG4R,B00JXQ06X8,619941271,bed head curls in check 1875 watt diffuser hair dryer,Beauty,5,85,89,N,N,New Curlipops Pancake Style Dryer Beats the Competition,"I’m better impressed with the Curlipops Diffuser Dryer than I was with my deceased Conair Curl Fusion Ionic Ceramic Styler Hair Dryer (next to current generation) which the Curlipops is replacing for me. Both dryers have negative ionic technology, which makes them preferable to the free hairdryers at hotels, the gym, and my therapy pool, as I always notice much more frizz when I use those dryers than when I use my own. So, in that regard, they’re both preferable IMO.<br /><br />Unlike the Conair, the Curlipops allows you to position the diffuser the way you want to, and for me that’s so that there aren’t large gaps between the dryer fan and your hair. It may be that I have a heightened sense of safety awareness, after working in health care for 38 years, but the Conair’s clipping on in a way that kept the gaps as wide as possible didn’t give me a whole lot of confidence that it would work well for “pixiecurling.” For those who don’t know, this is a method of drying curly hair, developed by someone who goes by “pixiecurl” on naturallycurly.com, in which you scrunch your hair into the bowl of a dryer’s diffuser with the dryer off, turn it on and dry that section of hair, then turn it off before repositioning the dryer: because the dryer isn’t on when you do the scrunching, curls stay better defined, but another factor is that your hair isn’t being pushed away by airflow when you’re positioning the dryer, only possibly an issue with a pancake style dryer. I was still too chicken to try it with pixiecurling, but used the method Jessica McGuinty (of Jessicurl) uses in her hair drying video &#60;https://www.youtube.com/watch?v=cyyOypbTHI0&#62;, and it worked great! My hair dried a lot faster, curled really well, and I had no problems with frizz as it finished drying. Although it’s a little difficult to attach initially, the diffuser works really well, and that’s no biggie since I have no reason to keep removing and reattaching it, it just resides on the dryer. So one for Curlipops.<br /><br />It has three heat settings: cool, warm, and hot, which are independent of the airflow speed, as well as having a cool shot button. I don’t use high speed because it disorganizes my curls. I’m also unlikely to use hot, but it’s nice to have the option of finishing with cool air without having to hold the cool shot button down for an extended period of time. The Conair has Hi, Off, and Lo, along with a cool shot button, so airspeed and heat, or lack thereof, are connected to each other, and I score another one for the Curlipops.<br /><br />Whine: the Conair has it in spades, and the Curlipops has very little. So I give this one to the Curlipops too.<br /><br />Both dryers are listed as having the same weight, according to Amazon, though that’s really the shipping weight. It’s a little more than I’d like, considering I have fibromyalgia, and I don’t need any help making my arms and shoulders ache, but it’s still better than getting hypothermia, pneumonia, or bronchitis. Also, not having the dryer permanently attached to a wall means I can get into more comfortable positions while drying my hair. Both still weigh less than my mother’s non-ionic, folding, travel dryer, which I used once while I was moving her, then abandoned due to the abundant halo of frizz it created. So score one for both pancake dryers. However, neither one has dual voltage, and the Curlipops’s instructions specifically state it should not be used with a voltage converter, so it would not be a possible choice for travel outside of North America.Curlipops.<br /><br />It has three heat settings: cool, warm, and hot, which are independent of the airflow speed, as well as having a cool shot button. I don’t use high speed because it disorganizes my curls. I’m also unlikely to use hot, but it’s nice to have the option of finishing with cool air without having to hold the cool shot button down for an extended period of time. The Conair has Hi, Off, and Lo, along with a cool shot button, so airspeed and heat, or lack thereof, are connected to each other, and I score another one for the Curlipops.<br /><br />Whine: the Conair has it in spades, and the Curlipops has very little. So I give this one to the Curlipops too.<br /><br />Both dryers are listed as having the same weight, according to Amazon, though that’s really the shipping weight. It’s a little more than I’d like, considering I have fibromyalgia, and I don’t need any help making my arms and shoulders ache, but it’s still better than getting hypothermia, pneumonia, or bronchitis. Also, not having the dryer permanently attached to a wall means I can get into more comfortable positions while drying my hair. Both still weigh less than my mother’s non-ionic, folding, travel dryer, which I used once while I was moving her, then abandoned due to the abundant halo of frizz it created. So score one for both pancake dryers. However, neither one has dual voltage, and the Curlipops’s instructions specifically state it should not be used with a voltage converter, so it would not be a possible choice for travel outside of North America.",5/25/2015,47.752808988764045
1207,1207,US,36751275,R2A1GWABS7F4LS,B001MP4882,588999286,hot tools professional 800 watt ionic soft bonnet-style hair dryer,Beauty,5,13,14,N,Y,Hot and compact,"Works beautifully and fast.  Lots of heat choices.  Hot is hot with this dryer.  I had to wear a terry headband around my forehead, ears, neck because of the &#34;leakage&#34; of hot air, but otherwise, it dried my curly hair very quickly, almost as fast as at the salon.  Love the thin case and the way the power cord, bonnet and air hose store in the case.  I worried about where I'd store this in a small apartment, but it's no problem.",5/19/2015,92.85714285714286
1288,1288,US,35183549,R2KDSUUHEINLR7,B00JH2C3DE,768062995,panasonic eh-na65-k hair dryer,Beauty,5,21,22,N,Y,Worth the money for smooth shiny hair,"I have straight thick hair and my old hair dryers would leave it frizzy until I slept on it. However when I tried it with this blowdryer, even at the fast dry attachment, it was smooth and sleek.<br /><br />Now that I have a digital perm, I can use the diffuser. I put half of my hair twisted, sectioned into thirds and put it on the diffuser! It works wonderful so far. I'm so happy with this blow dryer. Worth the price. First expensive blow dryer I have owned. Now I can have nice waves.",5/11/2015,95.45454545454544
1424,1424,US,7204580,R3GR1MJG8OIWCT,B001UE7D2I,127343313,andis 1875-watt tourmaline ceramic ionic styling hair dryer,Beauty,5,143,147,N,Y,I love my Andis Ceramic blow dryer,I love my Andis Ceramic blow dryer. Not only does it get our hair dry quickly but it also straightens at the Sam's time. Can't get no better for me and my family. Quick and easy!,4/29/2015,97.27891156462583
1436,1436,US,5994001,R2DTGIPSXZHJGL,B000A3I2X4,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",Beauty,4,10,11,N,Y,Scuff marks on Concentrator,"I used amazon prime and got this pretty fast. I haven't used it as yet but I did test the item and it works seemingly well... The barrel of the blowdryer works pretty well and the force of the air blown was great. However while inspecting this item it has scuff marks on the &#34;concentrator&#34; as if it had been used before or before being shipped. Not sure if it will lessen in terms of the force of the air over a period of time but we'll see. Also at the back of the dryer there was a removable backing that allows for cleaning if the air vent gets clog, which I didn't expect and it was a pleasant supprise. The &#34;concentrator&#34; also takes quite a bit of strength to put on. (Twisting it on doesn't make much sense so I'd recommend lining it up and the pushing it down on the barrel)...My intial review however is 4stars. I will be doing an update within the next month..",4/28/2015,90.9090909090909
1540,1540,US,12390670,R276U62HZSEGZ0,B0043W2C48,630355634,br beauty meredith 880w salon hair dryer with casters,Beauty,4,10,11,N,Y,Great product! The only bad thing was that the ...,Great product ! The only bad thing was that the wheels didn't fit .,4/19/2015,18.18181818181818
1570,1570,US,33667144,R2DSY1KHD3R91A,B002B8VE4U,74735317,travel smart by conair dual voltage 1875 watt hair dryer,Beauty,5,32,32,N,Y,Did its job wonderfully!,"This hair dryer worked perfectly on my recent trip to Holland, Belgium, France, and England.  There was no converter needed, just an outlet adapter when switched on the 250 V mode and used only on the low setting.  To clarify, you can ONLY use it on the LOW setting, however on the low setting it runs like it is on high - very easy, and worked perfectly.  It is also extremely compact for easy packing, but still worked like a bigger, nice hair dryer.  Hope this helps someone :)",4/16/2015,100.0
1931,1931,US,41082134,R2RRPFUELM49KP,B00BB8ZIW0,253917972,remington silk ceramic professional hair dryer,Beauty,4,25,27,N,Y,"Happy I purchased, gets the job done.","As much as I hate to admit it, in conjunction with the Cricket Technique 400 thermal brush, my hair is as closest to a salon blowout as I have ever gotten it! It feels light and airy like it does when I leave my hairdresser. It is relatively quiet, the design is very nice - I like the smoothness of the handle. Love that it comes with concentrator and diffuser as I use both since I have naturally curly curly hair! I am pleased with this and will update later if need be because I JUST received it in the mail today. I also have long hair and didn't have a problem with the back as some others have.",3/18/2015,92.5925925925926
2082,2082,US,15829457,RRWCOYWKKW08J,B007ROD3AG,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",Beauty,5,63,65,N,Y,Kinky Coily Black Natural Hair!,"wow!!! incredibly fast shipping from Mix Wholesale. I ordered it on Thursday..it arrived on Saturday (and I live in Georgia). put it together in less than 20 minutes and powered it up! So easy to assemble!! Can't wait to use this on my 4b/c natural hair!! will update again after more use.<br /><br />Update: This dryer is fantastic!! Dried my freshly washed, dense, chin length 4b/c hair in about 40 minutes! on medium heat!! I did not need neck covers or ear protectors at all. I have a pic of the size rollers I used; they fit with AMPLE space under the hood. It's also very quiet--I had no trouble having a conversation on my phone; easily watched television. I haven't had to duct tape anything, it's pretty sturdy, a little wobbly, but not I'm not moving around a lot if I'm sitting under the dryer anyway..<br /><br />Basically, I love it and I'm SO GLAD i didn't waste my money on a Pibb or PEBCO brand. I don't own a salon, but it's great for home use and is a million times better than standing in front of my mirror trying to dry my hair with a handheld blowdryer.",3/8/2015,96.92307692307692
2305,2305,US,37642632,R145UOGGV6OY5H,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,3,12,36,N,Y,I really really wanted to like this hair dryer,"I really really wanted to like this hair dryer, even ordered again after sending back the first one that arrived without the concentrator nozzle. After reading all the great reviews raving about the quality of the hair dryer I was somewhat disappointed with it.. It's really powerful, I think even to the extent that it can over-dry and damage certain type of hair if one is not careful, so I'm sure it will dry hair in a shorter period of time, but I still have doubts about it being ceramic and using ionic diffuse technology which makes hair less frizzy and damages less, as I found no mention of it on the hair dryer, the box itself or the paper insert that comes with it.  The hair dryer has somewhat cheap and plastic feeling.. the seams are somewhat poorly made- they scratch your hand when you touch them, and the cold shot button is not a real button per se, it's a piece of plastic hanging there, which I think can get stuck in or broken after some use.. Anyway, it's an OK hair dryer for the price, very powerful, deserving the title Professional, but somewhat cheaply made.. I guess it makes it easier to write raving reviews about a product if you don't pay for it, but for the price you can get a little less powerful but higher quality product",2/24/2015,33.333333333333336
2428,2428,US,33419564,RKCR2MFDIROZ8,B0007NZPY6,16483457,conair pro hair dryer,Beauty,5,104,111,N,Y,Yes t the Yellow Bird!,"Even though I just got this week, I used on both my daughters hair to blow out for the first time!!! I bought this because I remembered my former stylist using this tool on my hair years ago!  I saw the price and jumped on it!  It's not fancy but it has four settings from cool to high heat and if you know how to use a blow dryer properly then you should be fine!  Thanks Amazon for having st half the price as Walmart! :). Worked like s charm on my girls and I only used cool and warm heat! ;) they have lots of curly hair!",2/17/2015,93.69369369369369
2430,2430,US,24667703,R2G13EGYTIFZYU,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,5,68,89,N,N,It's a good hair dryer,"So I tested my new Allure 2200w hair dryer and so far I really like it. It dries my long hair in no time and and it doesn't leave my hair frizzy. It is lightweigth and it looks nice. The chrome looking lint trap at the back can be twisted easily and pulled out for cleaning. It looks nice but be very careful because (correct me if I am wrong)  it is made out of a plastic material that seems like it will easily break. I am going to use and keep this hair dryer in the bedroom vanity just incase I drop it, it will fall on the carpet floor. The extra attachment that came with it is also nice. I also have a 1875w Conair infinity that I have been using for years. I love it but I compared the two today and they seem to blow about the same amount of air. If Allure is blowing harder, I cannot really tell. The small button to press cool air is a bit hard to press but truth is, I never use the cool air function anyway so it dont really matter for me. Over all, I will start using this Allure from now on and will give him hubby the Conair one. The other minor things does not hindrance the funtionality of this hair dryer so if you are planning to buy this, go ahead, give it a try. I think you will like it too.",2/17/2015,38.202247191011246
2469,2469,US,24870562,R3BZESYBVWSO12,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,Beauty,4,11,14,N,Y,"Shine, fast dry time without burning your hair, low price but good quality","I spent a lot of time researching various dryers and was willing to pay around $100 to get a &#34;good&#34; one.  I was intrigued by this dryer because of the Tourmaline, Ceramic and promise to boost shine.  I was also drawn to this particular diffuser because of the long prongs.  I was turned off by the low price because I assumed it would be poor quality.  I was pleasantly surprised by the quality.  The dryer is light weight, quieter than my former dryer and much more efficient.  I have long, curly and very thick hair.  This dries my entire head in 15 minutes without burning my hair.  My former dryer took 30 to 35 minutes and didn't give me the shine this one does.",2/15/2015,78.57142857142857
2519,2519,US,45975958,R12G2GST9N39LP,B001UE7D2I,127343313,andis 1875-watt tourmaline ceramic ionic styling hair dryer,Beauty,5,18,18,N,Y,What a 4c girl needs!,"LOVE THIS! I have 4c hair with a tendency to shrink almost 75%! This gets the job done! I also use this on my three daughters' hair, we all have 4a-4c with high shrinkage, and this is one tough dryer! The attachments hold on for dear life and still have not broken!",2/12/2015,100.0
2660,2660,US,8642301,R1WMW6AMOQWWUJ,B007ROD3AG,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",Beauty,5,50,54,N,Y,Worth purchasing,"Excellent. It's very easy to put together, it's not too loud actually I'm watching jeopardy while under the dryer right now! The bell is not too loud when the timer is done. The only annoying thing is you hear the timer ticking but I'm used to that from going to the beauty salon it goes unnoticeable. Delivery was quick and swiftly and customer service was excellent. My hair dried very quick and I didn't even put it on the max heat. I'm African American with shoulder length hair 4c and I never had a perm. I'm glad I purchased this dryer because it is an reasonable price",2/3/2015,92.5925925925926
2670,2670,US,20337513,RJ9H9NNRSJ3IL,B00O0WRO08,486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black",Beauty,5,11,13,Y,N,Perfect price point with all the features you need,"This is by far my favorite dryer. I love the built in cord retractor, especially for traveling, which we do often. I have so many gadgets I need to bring, my suitcase is always a mess of cords. In addition to that, it dries my hair SO fast. I have fairly thick hair, though it's thinned over the years a bit, and it would take me in upwards of 20 minutes to dry my hair with a standard dryer. Using this dryer with a ceramic brush has my hair dry in under 10 minutes every time. The cool shot option is great for just adding a bit of curl around a brush if you're in a hurry, too! My hair tends to get a bit curly as it dries, so I really like the diffuser attachment as well. It works perfectly to smooth out my hair without it poofing out like crazy. I still like to follow up with my straightener because it makes my hair really shine and glow, but the diffuser makes the job much easier. I've been using tourmaline ceramic dryers for years and I have MUCH less breakage and a huge reduction in split ends since making the switch, so at this price, this dryer/styler is a must have!",2/2/2015,96.92307692307692
2819,2819,US,13052742,R3Q4DTX77WMRBU,B00RPL1W4U,286798751,xtava anemone wind flower 1875w professional ionic ceramic hair dryer - compact and ergonomically designed for effortless styling,Beauty,5,13,18,N,N,"AMAZING! Cute pink color, travel friendly and works great.","This is actually a really great hair dryer! I love how compact it is (smaller than regular sized dryers), it is almost like a travel type of dryer. I find it very easy to use and that it gives me such the softest appearance with hair. I'm a College Student so I'm always on the go whether its going from class to class to traveling to yoga class/gym I definitely need something as flexible as I am. My hair is on the normal side, not too thick and not too thin. It is also fairly straight.<br /><br /> I feel that this hair dryer without the diffuser (black top) creates such a satin feel to the hair and that with the diffuser on my hair gets so shiny! So what I do is do about 2-5 min without the black top diffuser and 3 minutes with it on. The cool thing about this hair dryer is that it comes with 2 diffusers (one wide and one thin), it helps cater to your hair and what you want done to it. Overall this is an excellent hair dryer, everything form the Xtava line so far has been fantastic. I have received this product complimentary for my review but definitely believe that this product is great and affordable!",1/20/2015,36.111111111111114
