,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score
323,323,US,34665611,R24810Q3ZRRTLZ,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,Major Appliances,1,24,29,N,Y,The older model worked fine until I melted it with a small kitchen fire ...,"I bought this unit to replace an older LG model that was discontinued.  The older model worked fine until I melted it with a small kitchen fire (naturally the one time I disconnected the smoke alarm).  The new model arrived quickly.  I got a friend to help install it.  You'll need a friend  -It's too heavy for you to hold it up with one hand while you screw the bolt on with the other.<br /><br />I gave it four stars in my initial review but I'm changing it to one star because after only a couple of months, the microwave's fan and interior lights would go on sometimes when I closed the oven door.  But if I opened and gently closed the door again, it'd turn off.  It's been about six months since I first installed this oven and this problem is becoming frequent.  Today, my son texts me from home that the microwave won't turn off no matter what he does so I told him to leave the door open and when I get home tonight, I will disconnect it so it doesn't burn the house down.  A microwave oven is supposed to make our lives more convenient,  not fill us with dread that it can start an electric fire.  Checking on the internet, it seems that this is not an uncommon problem.  It's probably not going to be covered by warranty.  And how do I get it to the manufacturer?  They aren't going to pay a repairman to make a housecall for a lousy microwave oven.  If I pay for shpping both ways, I might as well buy a new microwave.  Lessons learned:  I will buy appliances from a brick and mortar store whose return/service policy I understand and I will not use an over-the-range microwave again.",4/7/2015,82.75862068965517
363,363,US,49785938,R17TH7PVR4TM4P,B00NXRHIO8,692404913,samsung counter top microwave,Major Appliances,1,14,18,N,Y,Disappointed,"Looks good, only worked a week. First - timer would work but no heating occurred, next dy everything looked like it was good ( lit up, revolving, timer working) but food temp was not changing. Cancelled replacement and have NOT been refunded.",3/13/2015,77.77777777777777
470,470,US,45416837,R1X5MS0IJF1QUJ,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,Major Appliances,3,11,18,N,Y,Shrunk in shipment ...,WOW am I ever surprised! The product descriptions states &#34;Spacious 2.0 cu. ft. interior Accommodates a wide range of meal and snack items&#34; this spacious interior is in reality 1.4 cubic feet!!!. LG's claim of 2 cubic feet include all of the little indentations on the sides and bottom So perhaps this unit has a 2 cubic feet capacity .. if you laid it on it's back drilled a hole in the door and poured in 2 cubic feet of liquid! Well so much for honesty in advertising ... I'll write another review when i actually start using my small microwave but for now I feel duped.,2/2/2015,61.111111111111114
508,508,US,53035876,RX1ZUVGBH3HKC,B00NQFSSWS,692404913,samsung counter top microwave,Major Appliances,5,814,848,Y,N,THE WORLD'S MOST MISUNDERSTOOD KITCHEN APPLIANCE?,"I've written quite a few product reviews in the past, but never have I seen so much debate and misinformation about what would seem to be a simple kitchen appliance! A lot of the reviews I have read here are either mistaken in their details or are trying to compare apples to oranges. Samsung (or whoever the Samsung dealer on here is) has only added to the confusion, unfortunately.<br /><br />First, a few points to set the record straight. The appliance is NOT covered in stainless steel. There may be a bit of it in the trim, but it seems like whoever wrote the description hasn't actually sen one in person. Most of the outside has a black, textured metal finish, which does seem to blend in quite nicely with my own black and stainless steel kitchen appliances. It may not blend in with a kitchen that is all stainless and has no black in it though.<br /><br />There is a bare minimum of plastic in the construction, which is limited to the trim, &#34;open button&#34; and part of the door latch. I have not had any problem keeping either the highly polished front door clean nor the outside of the appliance. In fact, the texture of the black sheet metal on most of its outside surface actually prevents it from becoming a fingerprint magnet.<br /><br />Another misconception comes from the grill rack that fits inside. Some people have mentioned that it is only to be used in the grill mode, which is not true. The rack can be used in the combination grill/microwave mode just fine and your microwave will NOT burst into flames. From the manual, page 11: &#34;Grill Rack, to be placed on the turntable. The metal rack can be used in grill and combination cooking&#34;. It will even &#34;work&#34; in the microwave-only setting, although it won't contribute to the cooking process at all. In fact, the main feature of this appliance is the ability to both microwave AND grill at the same time, and you can't utilize the grill to any effect without the rack in place.<br /><br />This brings me to the main point of my review. Those who are most critical of this appliance are simply comparing it to a microwave. This is an apples vs oranges type of logic as the addition of the grilling element really makes this an unfair comparison. Is it heavier than most stand-alone microwaves? Of course it is, because it has an entirely separate heating element, electronics and carries the additional weight of a ceramic enamel interior. This is really two appliances in one that work together seamlessly to greatly enhance the texture and heat distribution of foods such as pasta, pizza, crusts, etc. The additional heating element also makes the appliance larger than stand-alone microwaves, which is entirely understandable to me. This also explains the slightly lower wattage rating than some heavy-duty microwaves. If used with the grill though, it seems to cook items just as fast as a microwave with a higher wattage rating.<br /><br />Adding to the weight is a metal exterior that uses a heavier gauge of sheet metal than the vast majority of stand-alone microwaves on the market. The reason for this is pretty simple. To keep people from burning themselves when coming into contact with the appliance. Without the heavy-duty (which is necessarily heavy) inside and outside finishes the device has, it would eventually lead to someone getting accidentally burned. For those who wonder why it doesn't have more capacity or more wattage, the reasons all boil down to safety. You can only add so much shielding to keep the size (and cost) of such an appliance practical. I think that Samsung engineers did a pretty good job at balancing safety, size and materials to keep this at a reasonable cost for a device that offers so much more than a simple microwave does.<br /><br />In regards to cost, I have seen the price of this product fluctuate wildly over the past few weeks. At one point I believe it was $179 (shipping included). Then it went up to $230 (shipping NOT included). Today, it is down to $199.99 with free shipping. I have no idea what the MSRP of the unit actually is, but for the quality of construction it has and the features it carries, it seems like at bargain to me.<br /><br />For me personally, this product is just the right size for the foods I cook and offers a lot of flexibility as to how I can cook things. The polished surface makes it by far the nicest looking appliance in my kitchen, ever. It reminds me a lot of my Samsung Galaxy S4 cellphone, actually. All in all, I couldn't be happier with my purchase and I would recommend it to anyone. If you have no interest in the grilling feature you probably wouldn't want to buy this though, because it is definitely more expensive than a stand-alone microwave. If you are only going to use it for microwaving it is overkill. I'd never go back to a regular microwave after having used this though. I am too spoiled with this product's cooking ability at this point. In any event, I think that it deserves more praise than it seems to be getting here. Try it for yourself and I would bet that you won't be disappointed.n to $199.99 with free shipping. I have no idea what the MSRP of the unit actually is, but for the quality of construction it has and the features it carries, it seems like at bargain to me.<br /><br />For me personally, this product is just the right size for the foods I cook and offers a lot of flexibility as to how I can cook things. The polished surface makes it by far the nicest looking appliance in my kitchen, ever. It reminds me a lot of my Samsung Galaxy S4 cellphone, actually. All in all, I couldn't be happier with my purchase and I would recommend it to anyone. If you have no interest in the grilling feature you probably wouldn't want to buy this though, because it is definitely more expensive than a stand-alone microwave. If you are only going to use it for microwaving it is overkill. I'd never go back to a regular microwave after having used this though. I am too spoiled with this product's cooking ability at this point. In any event, I think that it deserves more praise than it seems to be getting here. Try it for yourself and I would bet that you won't be disappointed.",1/19/2015,99.19811320754715
514,514,US,33955997,RQH0B0GRUXI9N,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,Major Appliances,1,60,63,N,Y,"Microwave Oven Handle attachment breaks off, magnetron fails - just a terrible product","The handle is attached to the door by two weak screws that bear up against a nonmetallic surface on the door. For my unit, the lower attachment door surface broke within six months and the handle pulled away from the door.<br />I am having a service call take care of it but it looks like a design flaw. Even if I get a replacement door, I expect it will break again in six months. Avoid this model design.<br />Updated Dec 2016: Yes the replacement door also is showing the same problem.<br />Worse: The magnetron failed as soon as the one year warranty was up. Would not heat food. We had a service call and replaced it.<br />It has failed again in 9 months. LG wants more for a service call than the new microwave cost.<br />I would avoid LG microwaves completely. I still have a countertop Panasonic microwave working perfectly after 15 years - unfortunately LG does not know microwaves :)",1/13/2015,95.23809523809523
516,516,US,47914576,R5YFC5G8V2B3I,B00NQFSSWS,692404913,samsung counter top microwave,Major Appliances,5,104,117,Y,N,This Combination Microwave Is Worth the Extra Cost,"Is a combination microwave oven worth the extra cost?  This SAMSUNG COUNTER TOP GRILL MICROWAVE certainly is.  I've used the &#34;combi&#34; button (30% microwave power combined with a single-temperature top heating element) along with the &#34;crusty plate&#34; and grill rack to cook bacon, hamburgers, and frozen hamburgers.  All came out tasting like grilled meats (not microwaved meats).<br /><br />The regular microwave features work like any standard microwave.  The interior is easy to clean.  The microwave door is a mirror that takes a little getting used to (see the attached photo).  The only thing I don't like about this appliance is that the mirrored door won't allow you to watch your food while it's cooking.<br /><br />This is a beautiful kitchen appliance that performs the function of both a microwave and a toaster oven.  But everything cooks with the speed of a microwave.  At 950 watts, the microwave is a little less powerful than my old 1000-watt Sears microwave, so I need to set it for slightly longer cooking and reheating times.<br /><br />***Cleaning Tip:  If you grill bacon, you'll get grease splatter on the roof of the microwave.  Bon Ami removes this easily, without scratching the interior.",1/12/2015,97.77777777777777
527,527,US,51401810,RKXNZX22HQZEE,B00NN136NQ,464779766,"samsung mc11h6033ct countertop convection microwave with 1.1 cu. ft. capacity, slim fry technology, grilling element, ceramic enamel interior, drop down door, and eco mode in stainless steel",Major Appliances,3,182,192,Y,N,Takes your chef skills down a few notches,"I’m always leery of appliances that blend several functions or operations into one device. My past experience has been that it is better to get one appliance that does one thing well than to get one appliance that does three things mediocre. But one thing I can say after running this Samsung multi-function baking, broiling, microwave, convection oven through its paces, is that it really does everything very, very well. Because the interface is not intuitive (more on this in a moment), you will have to spend some time with the manual to figure out how to cook things the correct way or the way you want to. You will also have to extrapolate a little bit, because Samsung does not cover every possible foodstuff and every possible cook method. Still, by keeping the manual handy, I didn't have any problem making delicious food in any of the modes that I tried (everything except broiling – which looks like it would be quite messy).<br /><br />I started simple, with the microwave. While every microwave that I have touched in the past twenty years was literally self-explanatory, just choose a setting or power level and cook time, this Samsung oven requires you to select the type of food, the weight, what you are trying to accomplish (heat, defrost, etc.) and it calculates everything for you and runs it. Now, this sounds like a lot of tedious work, and in fact it is. But the first thing I defrosted was frozen Japanese sticky rice. In a regular microwave, I usually just put it in at high level for a minute, stir it up, and I end up with a sometimes mushy, sometimes not, sometimes cold, or cool, or hot, sometimes perfect, sometimes inedible bowl of rice. Using the bread setting on the Samsung, I put the rice in, pushed the buttons and turned the knobs according to the instructions, and I ended up with perfectly defrosted, not hot, not cold, not a grain neglected bowl of rice. It was, in a word, amazing: defrosted without even getting hot. Wow. The microwave continued to impress in this fashion: popping popcorn, defrosting frozen berries, warming cold bread, all to perfection.<br /><br />For baking or actual heating, again, following the instructions of the manual, I made a number of excellent dishes. What I failed to notice, however, was that the cook times for everything I made were predetermined by the oven. That is to say, before starting I never knew how long anything would take and in fact, until you push the start button, the oven never indicates the cook time you are in for. Because these were main dishes and the length of time was not egregious, this didn't matter for the most part, until I tried the slim fry function.<br /><br />Now, I have experience with these so called “oil-less” fryers, which is essentially what the Samsung oven turns itself into in the slim fry mode. So, I prepped my potatoes and waited for my wife to come home before starting on the main dish prep, but before I did that, I started on the potatoes. The first step was to fast preheat the oven to 400 degrees, and it has a dedicated mode for accomplishing this. I turned it on and set to work on my other dishes. Eight minutes later, I was ready to go, but the oven was still fast (?) preheating. I cut to the chase, put in my potatoes on the crisper tray, set it on the small rack that came with the oven (is there a reason why the tray does not sit in a fixed position on its sister rack?), selected my quantity and hit start. The timer promptly displayed a cook time of 32 minutes. Wait, 32 minutes? I could drive to McDonald’s, order fries, sit in the parking lot and eat them, go back in and get another order of fries and take them home to serve with dinner and I’d still have 5 or 10 minutes before my slim fries were ready with the Samsung. We had a fry-less dinner, and slim fries (admittedly, delicious, crispy and light fries) for dessert.<br /><br />I don’t know a serious chef who doesn't work within given time constraints. It’s part of the task after all. (There are even television shows on which cook time determines the success or failure of the celebrity chefs competing on the shows.) So if you ask me, how, exactly, is a chef supposed to get the most out of this Samsung, I have to answer honestly, I have no clue. Not knowing the cook time up front is a serious handicap. I suppose if you used it enough for a wide range of foods under an extensive range of conditions, and kept notes along the way, you could develop an accurate chart of cook times that would allow you to get the most from this oven. But as it is, I think this is a nice microwave with a lot of great features that is hard to use for much of anything else. Samsung has some good ideas and a great microwave, but with the quirky implements, required-reading manual and the “we’ll let you know when it will be done when we’re ready to let you know” feature, it is impossible to rate this any higher than three stars.e even television shows on which cook time determines the success or failure of the celebrity chefs competing on the shows.) So if you ask me, how, exactly, is a chef supposed to get the most out of this Samsung, I have to answer honestly, I have no clue. Not knowing the cook time up front is a serious handicap. I suppose if you used it enough for a wide range of foods under an extensive range of conditions, and kept notes along the way, you could develop an accurate chart of cook times that would allow you to get the most from this oven. But as it is, I think this is a nice microwave with a lot of great features that is hard to use for much of anything else. Samsung has some good ideas and a great microwave, but with the quirky implements, required-reading manual and the “we’ll let you know when it will be done when we’re ready to let you know” feature, it is impossible to rate this any higher than three stars.",1/8/2015,98.95833333333334
544,544,US,39699233,R2K45IY0NO70ZI,B00NN136NQ,464779766,"samsung mc11h6033ct countertop convection microwave with 1.1 cu. ft. capacity, slim fry technology, grilling element, ceramic enamel interior, drop down door, and eco mode in stainless steel",Major Appliances,5,116,122,Y,N,Awesome Convection Microwave Oven!,"Before this microwave found its place on my counter this week, I hadn't known how much I would love it!  It heats food quickly, is easy to use (once you review the manual), and can serve the same functions a microwave and toaster oven do.<br /><br />What makes this microwave different...<br />+ It has many possibilities.<br />+ Pizza is crispy on the bottom (when reheated) even on the microwave setting!<br />+ It can be simple, or you can dive into all the stuff it can do!<br />+ The size is comparable to our old 1.1 cu ft microwave, yet it can do more.<br />+ The colors are awesome!  The stainless is only on the front (which makes for less to clean) and the gray top and sides are not stainless---so they will keep cleaner.<br />+ The dials and quick microwave settings are smart.  To reheat something for 30 seconds, just press the button on the bottom right (once for 30 seconds, twice for a minute, etc.).  Or, press the microwave button, turn the dial to the time you'd like (backwards or forwards) and then press the start button.<br />+ The clock setting is easy to set.<br />+ The convection oven works for settings up to 400 degrees.  Preheat the oven first, and then select the convection oven.  You'll need to read the directions in the manual first, but then it's easy to navigate from there on out.<br />+ The oven includes a crispy plate, two wire racks (that worked great on the convection setting), a glass plate and ring.  I baked some cheese onto the plate while using the convection setting and it cleaned up super easy.<br /><br />What may concern you...<br />-  The microwave does need to be on a sufficiently powered circuit (not on a power cord).  It does not have a long cord, so you need to be able to place it right in front of the outlet you are going to use or close to it.<br />-  Don't use plastic plates that are not microwave safe.  One review for this microwave was mistaken--they said you couldn't use plastic in it.  Not true.  You just have to use microwave safe materials.  There's a thorough and easy to reference list in the manual (which is located inside the microwave oven when you unpack it).<br />- The oven does have a heating element on the top because it is a convection oven, so you will want to make sure you have a microwave safe plastic cover that you can use when you are microwaving.  Otherwise, it's going to be a pain to clean it up.<br /><br />Other matters to address...<br />It's always interesting to read other people's reviews.  One reviewer didn't like the manual, because a cookbook wasn't included.  Honestly, I've gotten so many cookbooks over the years with appliances and I've never used them.  The manual for this oven seems small, but it is packed with all the essential information you'll need to use it--and more.  No recipes, but all the guidelines for cooking vegetables, reheating foods, etc.  I don't cook in my microwave oven normally.  I did bake spinach artichoke dip in this oven, though, on 375 degrees for 30 minutes and it came out perfectly!<br /><br />Another reviewer lamented the lack of a timer on this microwave oven.  That's not true actually.  If you use the microwave function, the time counts down normally.  If you use the convection setting, you have to select how long you want the oven to cook for and then it will turn off automatically when it is done.  If you find you need a few extra minutes, it's very easy to turn it right back on.  To use the convection oven, you do need to preheat the oven first, but that's not a problem.  One feature that was awesome was that when I took my dish out of the oven to stir it, the oven did not start cooking again until I pressed the start button (so the time didn't keep going either).  Most people I know use the timers on their ovens or use a stand alone timer that they can take with them into another room if needed or move to where they will hear it when it goes off.<br /><br />All in all, I'm very pleased with this microwave.  It covers the basics and beyond very well!  I don't expect it to do everything--grill, slimfry, microwave, convection.  But, the fact that it microwaves and bakes so well is enough for me!  Many appliances claim to do too much and we expect one appliance to do it all.  I prefer to do grilled cheese on the stove and frying on the stove, so I don't want to do them in this oven and risk having to clean up a mess.  I'm extremely happy with what I've used it for so far.ics and beyond very well!  I don't expect it to do everything--grill, slimfry, microwave, convection.  But, the fact that it microwaves and bakes so well is enough for me!  Many appliances claim to do too much and we expect one appliance to do it all.  I prefer to do grilled cheese on the stove and frying on the stove, so I don't want to do them in this oven and risk having to clean up a mess.  I'm extremely happy with what I've used it for so far.",1/1/2015,99.01639344262294
585,585,US,16130265,R24IUFY6ZMRKO4,B005GSZB3M,109226352,whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave,Major Appliances,1,27,30,N,Y,A Whirlpool Lemon,"I purchased this microwave in February, 2014. It was  perfect size but stopped working within three months.  After contact with Whirlpool via phone and email, I was told by the Whirlpool Product Review Board to dispose of it in accordance with law because there was no dealer where I lived to return it to.  I took it to my local metals' disposal site and provided proof of compliance to Whirlpool.  The Whirlpool Product Review Board then promised repeatedly over a three-month period that a check would be sent for the purchase price.  They apologized for the delay, at one time emailing to me that my Buy Back Check order was stuck in the system.  Then, after three months of promises, Whirlpool stopped all communication with me. More than two more months have passed since then and I still haven't received my Buy-Back check. I don't expect to get one.  Do not buy this product.  You can see from several of the reviews that you risk buying a lemon.  In my case, I lost $152.78 and spent many, many hours, time and money doing exactly what Whirlpool told me to do to collect on the warranty.  Whirlpool apparently does not honor it's warranties, at least not for this product.<br /><br />P.S. 10 days after this review was posted, Whirlpool issued a refund check.",12/9/2014,90.0
599,599,US,12147896,R39NVX27IOXXJT,B00NN136NQ,464779766,"samsung mc11h6033ct countertop convection microwave with 1.1 cu. ft. capacity, slim fry technology, grilling element, ceramic enamel interior, drop down door, and eco mode in stainless steel",Major Appliances,3,19,27,N,N,It Misses the Point of Being a Multi-Function Appliance,"I am really upset. I just got a MC11H6033 1.1 cu.ft Counter Top Convection Microwave w/SLIM FRY as a gift. I contacted the chat support as I had a few questions, all of which were answered with, No, but only after I was basically told Yes to all three questions and then dared to question the Yes.<br /><br />I asked if there was a timer function, told yes, then told no after I asked the rep to tell me where it was located, and how to set and use it. Who makes a microwave in 2014 that doesn't have a timer?<br /><br />I asked if there was a more extensive food prep guide/recipe book available to use with the unit because the Microwave Oven Owner's Instructions & Cooking Guide literally only lists 1 food item per function. There's 1000s of foods that could be made using things like the Slim Fry function, but no way to know which of the 1-9 settings to use because there's only 9 food items listed in the Microwave Oven Owner's Instructions & Cooking Guide under the Slim Fry entry. There is apparently no app with this information available either. Neither is there a formula for figuring out how to Slim Fry additional foods other than those listed in the Microwave Oven Owner's Instructions & Cooking Guide. This problem persists throughout the Microwave Oven Owner's Instructions & Cooking Guide in that every function other than straight microwave or straight convection cooking does not give enough information to be able to choose the correct function and setting for foods other than those listed. I only found this information out after asking which setting to use to cook Pre-breaded Fried Okra. I was answered, You can use the slim fry option 2 for Pre-breaded frozen Fried Okra. I asked, How and where did you find that information? He replied, I have gathered the information from our internal database. I stated, I don't exactly have access to your internal database, now do I? So, no additional cooking info publicly available. I guess if I want to try to Slim Fry frozen cheese sticks, I'll need to contact Customer Service and ask which setting to use because apparently, in the world of frozen food, Pre-breaded frozen Fried Okra is equal to that of Frozen Prawns [shrimp], Breaded. That's the example food for Slim Fry option 2 as per the Microwave Oven Owner's Instructions & Cooking Guide.<br /><br />I asked if there were sheet pans, cookware, or bakeware available to be purchased from Samsung, or elsewhere, that were known to fit in the unit; specifically sheet pans. Standard size 1/4 (quarter) sheet pans won't fit because the 9.5 x 13 size is determined by the usable flat surface area and not the outside of the pan itself. No standard 9.5 x 13 sheet pan is 9.5 x 13 on the outside dimensions that I am aware of. SO, where would I get pans that fit? Apparently Customer Service, nor Parts, has a clue. Who makes the inside of an appliance, capable of being a convection oven, too small for standard size bakeware? Toaster ovens don't count - but they do at least have after-market sheet pans available out there that fit in them. If I'd wanted to make cookies on pans that small, I'd have expressed interest in a convection toaster oven to make 6 cookies at a time, not a convection microwave oven. It should also be noted the Microwave Oven Owner's Instructions & Cooking Guide makes a big deal out of you Choosing the Proper Cookware. This is covered from pg 22 to pg 25.<br /><br />I was told by Customer Service, initially, that what I was looking for was available, and to contact Parts about those last two questions. I did. I checked online and I called. The girl who answered actually hung up on me after I insisted that Customer Service had referred me and that indeed those parts should be available. After she ended our conversation abruptly, I brought the absence of those parts to the attention of the Customer Service rep I was chatting with.<br /><br />Other than the above, the straight microwave function and straight convection function work well. The drop-down oven style door is a really nice feature. The blue display lighting is pretty.<br /><br />How does a company make a product without giving the consumer, or providing to the consumer at an additional charge, adequate instruction or equipment to use their product? I just don't understand how someone puts out a product with 1000 uses and only reveals 20 of them. Obviously people like me don't test them out or question the developers or designers or engineers before putting a product on the market without adequate instruction or equipment to use their product.<br /><br />Obviously, my logic is lost on Samsung - or it's too complex a logic for someone who works there to have figured out. In any case, with a hefty $249 on sale to $399 full retail price tag; the MC11H6033 1.1 cu.ft Counter Top Convection Microwave with SLIM FRY is definitely not worth the money since you can't use it to it's full potential.<br /><br />Review Update:<br />So, as of Christmas Day, I still hadn't found a commercially available sheet pan that actually fit inside the unit. My mother gave me an old broiler pan that she had for a long gone oversized convection toaster oven.<br /><br />I was using just the convection oven feature on the unit for the first time (I'd only used the Slim Fry feature to that point) to cook a dish for Christmas dinner; all of a sudden it just stopped working. The unit head cut off and there was no display visible. I thought maybe I'd tripped the breaker. I unplugged the unit and checked; I had not tripped the breaker, but I turned it off and back on just to be sure. I plug the unit back in and nothing. I've been found something else to plug into that outlet so that I can make sure the outlet was in fact functioning correctly. It was. I then pulled out the owners manual and proceeded to the troubleshooting section. It recommended unplugging the unit for three seconds and plugging it back in. I unplugged it, and left it unplugged for a solid five minutes. I plugged it back in and still nothing.<br /><br />For a unit this expensive to conk out while using one of the features for the first time, definitely says nothing good about the unit. For the unit to conk out while making Christmas dinner; that was just a headache I didn't need that day. I would dub this a completely unreliable unit.<br /><br />I regret that I never did have the chance to try french fries using the Slim Fry option.",12/4/2014,35.185185185185176
