,Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score
1633,1633,us,27841578,r2oc8eiqsnx8dz,b007ts8lk2,800824853,"gerber prefold premium 6-ply cloth diapers, 5-pack",baby,1,22,22,n,n,terrible quality! do not buy!,"these cloth diapers are the worst. they shrunk about 2 inches and turned into a wrinkled mess after just the first wash! i use these for burp cloths, i have no idea how you would use them as diapers! i bought the toys r us brand and they are amazing! toys r us brand doesn't shrink at all, they keep their shape and they are sewn much better even after many washes!! do not buy these!! gerber brand (right) vs toys r us brand in the photo.",6/18/2015,100.0
1890,1890,US,23361802,RWNPIN2MAX7ZJ,B00L4IVET8,719101633,"nuk newborn 100% silicone orthodontic pacifier in assorted colors, 0-3 months (2 count)",Baby,2,28,39,N,Y,Two Stars,"Pacifiers are ok, but picture shows 4 units, and they only deliver two.<br />Misleading advertising.",6/3/2015,3.58974358974359
2105,2105,us,56942,r20foz2ivpgt8x,b00nfsvqsy,557375202,planet wise lite wet bag,baby,5,18,18,n,y,prefer lite over the double layer version - just watch out for the light background prints,"good wet bag, adorable design. i got the foxy frolic print which has a white background, and because this is a single layer bag, it's rather see through. i use this for my cloth diapers, and while i haven't had a problem yet, i could see messes smearing inside and being visible through the bag. while it's not going to go through the material, it'd be kinda gross to see. or, if you have an easily embarrassed child, their wet underwear could be seen through the lighter material.<br /><br />i actually prefer the lite wet bag over the double layer wet bag by planet wise (i bought the double layer style first - 2 large and 1 medium). the double layer bags tends to collect and hold water in the waterproof side during the wash cycle and it's an extra step to get the liner fully empty and reset into the cloth outer bag so it can fully dry. plus, i tend to wonder if the water that is trapped in the liner side is clean or not. this bag being a single layer is much easier to flip inside out and back again.",5/25/2015,100.0
2129,2129,us,14996560,rwgmzxuhhvm2u,b00b7m7bkw,854639792,brica seat guardian car seat protector,baby,2,60,68,n,y,longevity issues!!,"bought theses in december 2014, and now its may 2014. these covers you buy at your own peril. these seemed to have failed protecting my seats!!! the blue parts give way over time and can bend and become disconnected from the material. maybe its because of i have graco carseats. i dont know i just know that it seems to have a longevity problem. now ive got to spend money on another product that can last longer.",5/25/2015,88.23529411764706
2142,2142,us,52946904,rqodtcgwilud3,b004ba28nm,769254583,dadgear backpack diaper bag,baby,2,41,64,n,y,wish we liked it better,"wife and i read all the glowing reviews, bought it, and ended up really not liking this backpack. we've had it for 2 years. our complaints was bag layout, and floppyness<br />- we never used the built-in wipes pocket, it is easier to grab a bag of new wipes, than refill it<br />- the top shallow pocket was useless. items would fall out of it easily.<br />- the bag is soft, it'd just fold on itself all the time. we prefer backpacks that are a bit more rigid. everything would just pile up into a mess at the bottom.<br />- the pockets aren't logically laid out. the smallest is in the front so you'd think the roomiest is in the back but it's actually the third pocket that holds the most. the final fourth pocket is a tiny one for keys and a cell phone but it took us a while to stop going into that one thinking it's the biggest.<br />- the shoulder straps are pretty uncomfortable. they're scratchy, not padded, and when the bag gets heavy with clothes and water bottles it gets downright painful to wear after a while. they pull somewhat awkwardly and i'd slide the bag partway off my shoulders to relieve the discomfort.<br /><br />this is not one of my best reviews, but i wanted to put it out there because there is a big gap between what we expected, and what we got.",5/25/2015,64.0625
2195,2195,US,11904415,R3UH9LQCMY5U3P,B00AHO43BG,667171015,fctry - baby pacifiers,Baby,1,26,28,N,N,JUST SAY NO,"This is a hilarious and adorable pacifier, there's no doubt, BUT IT IS A HUGE SAFETY RISK!!<br />We have only had ours a month and when I was washing it in the sink the nipple came detached from the base. If this had happened in my wee ones mouth he could have sucked it back and choked!!<br />Buyers be wary! There's no way the cute photo will be worth your kid's safety",5/22/2015,46.42857142857143
2432,2432,us,12823098,r2vkxumwf8wv7j,b002uxqres,712747703,"nuk seal n go breast milk bags, 50 count",baby,5,15,15,n,y,thick and freeze well,"i love these bags. they are thick and freeze well. as long as they are fully closed, they do not leak. thawing milk is easy in these too and they keep the milk fresh. i hated the l bags, i felt they were too thin and flimsy so i tried these and haven't looked back since.",5/8/2015,100.0
2622,2622,us,51288086,r23229jkl25w6b,b00px8q5f8,593756097,graco verb click connect travel system,baby,4,13,14,y,n,"very good, not quite excellent","it's lightweight, pretty easy to unfold and fold the stroller part, and pretty easy to click and unclick the car seat and switch it between the stroller and the car base.<br /><br />the springs are too stiff to be effective shock absorbers. and the stroller is meant for hard or paved surfaces only. the wheels just aren't up to grass, sand, or soil.<br /><br />the straps are not one-strap adjustable. the straps have to be fiddled with to get a good snug fit.<br /><br />there's no quick release on the base. taking the mounting base in and out of a car requires a bit more time than if it had a quick release. the solution is to buy extra bases for other family cars.<br /><br />baby is about to outgrow it at one year.<br /><br />all that said, the positives outweigh the negatives. we'd rate it on the higher end of budget models. for more features (such as quick release base and simplified strap adjust) look for higher end models.",5/5/2015,92.85714285714286
2674,2674,us,11435621,rymbaghbgl0ru,b00kwv09te,894769852,"urbini omni 3-in-1 travel system, convertible pram stroller, infant carrier car seat with base (black)",baby,2,10,14,n,n,really wobbly and unsafe,so this stroller is beautiful. i love the look of it. i love that it has a bassinet and that that and the car seat can go in and out of the stroller base. i have had this for just over a year and i bought it because the car seat went down to 4lbs. i was really impressed with the look and the price was good i thought. it is way over priced for the quality. it isn't like i use it to do anything crazy. i have mostly just walked on sidewalks. the few times i have gone &#34;off roading&#34; (grass) it doesn't turn well and it gets stuck easily. it is extremely wobbly and i feel like it will fall apart at any moment. i dont like having my one year old in it cause it feels really unsafe. i have two other kids and they like to grab the handle and pull on it. it has almost fallen so many times and it is scary and frustrating. i really like the look of it but all the bad out weigh the good. i am going to try and get rid of this as soon as i can.,5/4/2015,71.42857142857143
3018,3018,US,3255235,R169JUTN6YA83H,B00L4IVET8,719101633,"nuk newborn 100% silicone orthodontic pacifier in assorted colors, 0-3 months (2 count)",Baby,5,16,18,N,N,Perfect Paci!,These are the best pacifiers I bought so far! They don't leave ugly marks on the kid's chubby little face! My lil princess can keep these in her mouth for hours! The adorable colors are a real bonus!,4/21/2015,44.444444444444436
3025,3025,US,33184118,R2KQ383ZSIETTO,B0045I6IA4,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,1,15,20,N,Y,"Hole in pacifier, baby was swallowing air.","Love these pacifiers for my daughter, but when I recieved them there was a hole in the end of one of them. I didn't realize this until after she had swallowed a lot of air making her very colicy for the next week. Please be aware that they may have holes. Disappointed in this purchase. Switched pacifiers.",4/20/2015,75.0
3166,3166,us,10897691,r37y57ux1v67eh,b00mg33t3e,229222458,"silicone teething necklaces with baby-safe jewelry by favefemme - bpa-free, best soothing method, better than baltic amber, teething necklace for mom",baby,5,17,17,n,y,seemed to like it. a great idea for the teething little ...,given as gift to niece.  seemed to like it. a great idea for the teething little ones!,4/14/2015,70.0
3378,3378,US,3635781,R4UORUZU3PE3Q,B00BTWEUOK,523549949,"mam feed & soothe bottle & pacifier gift set, unisex, 0+ months, 6-count",Baby,1,27,38,N,Y,"Low quality, maybe a defect pacifier.","I received this set today with two pacifiers. I washed it before give it to my 5 weeks old baby boy. Guess what did I see, there is water stay in the pacifier! Is this mean this is a broken one? Or it's just a low quality pacifier? See pic I attached.I want to return it, but I already opened other bottles! Don't buy it!",4/2/2015,71.05263157894737
3420,3420,us,15083838,r16xheyscsslul,b00cs1xeos,165995570,slumbersafe winter sleeping bag long sleeves 3.5 tog - cartoon animal - various sizes: from birth up to 6 years,baby,5,10,10,n,y,and she is very comfortable sleeping with this and fleece feety pajamas,"my 1 year old daughter has been wearing this all winter. our house drops to about 62 degrees at night, and she is very comfortable sleeping with this and fleece feety pajamas. she's had a few accidents (and a noseblood... and a vomiting incident.. being a parent is so much fun!) and it has laundered very well. the zipper tucks up nicely in the little cloth slot, and it's actually very possible that she'll still fit in it next winter when she's 2.5 - she's a slightly above average height, average weight toddler.<br /><br />it might just be a coincidence, but she was having horrific sleep problems before we bought this, and she's been mostly sleeping through the night ever since. it breaks my heart to think that she might have been cold that whole time and our last double-pjs + blanket weren't sufficient... but who really knows.<br /><br />if you live in a cold, drafty farmhouse and you turn the heat down at night, this is the sleeping bag to get for your toddler. you won't be sorry!",3/31/2015,100.0
3529,3529,US,39764080,R207N313IQ9FI1,B00BTWEUOK,523549949,"mam feed & soothe bottle & pacifier gift set, unisex, 0+ months, 6-count",Baby,5,14,14,N,N,Best for weaning,"I am weaning my 10-month-old and these are the only bottles she will accept. They are easy for her to hold as the bottom is larger and textured (which prevents her hands from sliding down). The nipple has a tapered shape and soft texture, which has has really helped with the transition. Not to mention EASY to clean- wide enough to wash by hand. We have had success with warming the bottle and replacing one feeding at a time. Also using the slowest flow nipple that comes with this set. After a week she is now holding the bottle herself and drinking it happily! There's been no issues switching between bottles during the day and breast at night!<br /><br />As a sidenote, the mam pacifiers are amazing as well. The texture is soft like skin, not slick like other pacifiers. They were my first daughters favorite, and MY favorite because other kinds blocked her nostrils (she was tiny).",3/28/2015,50.0
3630,3630,US,29230018,R1EFC76K3XDAPC,B004GY8A58,343148814,the first years gumdrop newborn pacifier,Baby,2,65,69,N,N,Shocked that this was recommended for nursing babies...,"Let's talk about the form of the GumDrop nipple itself. I'm a mother of 6 children - nursed all of them. Our first child first used a pacifier (Avent, silicone, flatter nipple, 10 years ago) and after 18 months of chasing binkies in the middle of the night, I swore them off. Our middle four children sucked their thumbs to varying degrees and now our 6th has a fierce suck reflex, but he is too little and uncoordinated to reach his thumbs when he wants them. After receiving an orange newborn GumDrop from the hospital (out of desperation for a few moment's peace), I purchased a double pack newborn and a double pack 3+ months from Amazon. After the first week I noticed the newborn paci consistently popped out of our son's mouth when he would relax. I could never hold him one handed while doing chores. My other hand had to be pressed against the paci to keep it in place. Also, during suction he would have to suck really hard, making loud sucking noises - as if he could never get enough nipple in his mouth. This caused him to swallow a lot of air, which meant he had to be lifted from a reclined, dozy position to be burped. Also, his lips always tucked inward, not outward like they do on the breast. Putting him down for a nap was impossible because he would either 1). startle himself awake with the sucking noise/air swallowing/gas or 2). the paci would pop out after two sucks and he wasn't tired enough to overcome the reflex.<br /><br />Thinking the newborn size nipple might be too small I ordered the 3+ month size and noticed hardly any difference. The silicone is slightly more rigid in the 3+ month paci, but there is no difference in nipple length or width (see pictures).<br /><br />After thinking about it some more, it occurred to me that the GumDrop nipple doesn't mimic the human nipple in any way, what-so-ever. My 6th child is getting a far larger human nipple than my first - comes with the territory! My newborn needs a larger nipple to be satisfied. He also needs one that conforms similarly to a human nipple, which flattens considerably during breastfeeding. The GumDrop nipple unfortunately retains its original rigid shape when the baby relaxes. My nipple remains flat (stuck in the suction of the baby) when my son relaxes. Tonight (5 weeks later!) I finally broke down and bought a Nuk, since it appears to mimic a veteran mommy nipple: longer, flatter nipple that retains flatness and doesn't pop out of Baby's mouth. Hasn't fallen out all day. Baby is sleeping soundly now.<br /><br />I would also agree with other commentors that it is unclear if First Years is the same as Hawaii Medical. My hospital paci has a 1-800 number stamped into it, not &#34;First Years&#34; like the Hawaii Medical GumDrops I received from Amazon. As you'll see in the photos, the hospital paci has a &#34;matte&#34; finish (which probably feels rougher, more like a human nipple) and the First Years is shiny and smooth.<br /><br />*photo (left to right) orange newborn GumDrop, green 3+ months First Years GumDrop, blue Nukthat conforms similarly to a human nipple, which flattens considerably during breastfeeding. The GumDrop nipple unfortunately retains its original rigid shape when the baby relaxes. My nipple remains flat (stuck in the suction of the baby) when my son relaxes. Tonight (5 weeks later!) I finally broke down and bought a Nuk, since it appears to mimic a veteran mommy nipple: longer, flatter nipple that retains flatness and doesn't pop out of Baby's mouth. Hasn't fallen out all day. Baby is sleeping soundly now.<br /><br />I would also agree with other commentors that it is unclear if First Years is the same as Hawaii Medical. My hospital paci has a 1-800 number stamped into it, not &#34;First Years&#34; like the Hawaii Medical GumDrops I received from Amazon. As you'll see in the photos, the hospital paci has a &#34;matte&#34; finish (which probably feels rougher, more like a human nipple) and the First Years is shiny and smooth.<br /><br />*photo (left to right) orange newborn GumDrop, green 3+ months First Years GumDrop, blue Nuk",3/22/2015,47.10144927536232
3967,3967,US,25596556,R2W6F3GK196ZQ2,B00EHKHVKG,925732558,wubbanub infant pacifier - owl,Baby,5,12,13,N,N,The best Wubbanub out there!,"If you're reading this review, you probably already know that Wubbanubs are awesome pacifiers. We use them in the NICU where I've worked, and they are perfect even from the very start.  This review is more about why the owl is the best of the Wubbanubs! We have this one and the giraffe, and I've encountered many others at work and that friends' kids have. This one always seems more sturdy and less floppy than the others. The soothie pacifier is not super light, and the giraffe's head and neck flops all over the place when I'm holding it. My baby is 5 months and she has a hard time getting that one back in her mouth when it falls out. The owl has a thicker neck and is sturdier overall. If the pacifier falls out, my baby can generally put it back in her mouth without having a huge meltdown (this is especially important when driving down the highway and trying not to crash). She also likes to grab his wings and feet. Some of the newer Wubbanubs come in bright/neon colors, but I like that this one looks like a normal animal. And, of course, owls are super in these days! ;) There are a lot of cute Wubbanubs out there, but in my opinion, this one is the best!  The only negative I would say (and this applies to all Wubbanubs and similarly styled pacifiers) is that you really shouldn't let your baby sleep with them! We use ours primarily in the car, but sometime around the house too. We just use a regular Avent pacifier for overnight, though, as stuffed animals are not safe to let them sleep with overnight (especially when very young).",3/8/2015,46.153846153846146
4018,4018,us,46319057,r2l7htotye5jeq,b00ahq0264,809855553,chicco lullaby lx playard,baby,5,22,23,n,n,best option for a bassinet and playard combo,"this has been the perfect bassinet for our baby. my wife and i looked at numerous stand alone bassinets and decided to go with the chicco playard because we could not justify buying an expensive bassinet that we would only use for a few months and we also did not want something cheap. we were a little hesitant to buy this playard because we were unsure of how well it would work as a bassinet, but it has been great. our baby has no problem falling asleep and the little mattress is perfectly comfortable (it is also washable).<br /><br />setup was easy, even though i read several reviews saying it was a pain in the butt. for the most part it was self explanatory and it only takes a few minutes to break down for transporting.<br /><br />the best part of this playard is it's functionality. the changing pad hangs over one side so when the baby needs to be changed, just flip it over and it's ready (it says to buckle the changing pad down, but i don't leave the baby alone so i don't bother). when i'm finished changing the baby, just flip it back over the side and it's out of the way. there are also several very convenient pockets to store diapers, wipes, cream, etc. right below the changing pad area.<br /><br />other great features include the wheels on one side for easy transporting of the unit around the house as well as the night light, vibrations, and music. we are also at ease leaving her in this bassinet because of the mesh all the way around her (no fear of her sufficating when she is able to roll over.<br /><br />i will continue using this for our future children and it will be a great playard when it's no longer needed as a bassinet. i highly recommend this product over any stand alone bassinet. let me also clarify that our baby is sleeping in our room and not her nursery, so there is not a changing table in our room. if you have a changing table in the room your baby will be sleeping in, then this may not be as useful to you as it has been for me.",3/6/2015,95.65217391304348
4278,4278,us,46133049,r2hodyp75snowc,b00fnj7d58,822614424,bright starts bounce activity center,baby,1,26,30,n,y,this product is good as described but the only problem that i found ...,"well, this product is good as described but the only problem that i found was the paint from the bird is coming off and that's is my only problem with this bouncer because babies will chew in all the plastic toys but this one is the only one that i notice the paint is coming  off. just be aware of this paint problem.",2/27/2015,86.66666666666669
4513,4513,us,10371609,r3juv5wawro4y8,b00ntndsng,264334982,"skip hop studio select day-to-night diaper satchel, black",baby,4,18,20,n,y,surprisingly roomy!,"this bag is very beautiful and doesn’t look like a diaper bag at all. the nylon material seems very durable and easy to clean. bottle  pockets on both sides of the bag  are insulated. i put on of the bottles for example  and you can see it on one of the pictures (i use playtex drop-in bottles).<br /><br />in front of the bag there are two pockets. the lower one can fit full size wallet and there still will be some space on the side. the top pocket could be perfect for cell phone or small items (i would use it for my personal things ), and to give you an idea how big it is on one of the pictures i put facial wipes mustela in it. once the wipes are in i am able to close the pocket but the top part of the wipe’s container sometimes gets on the way. also, zipper on this particular pocket is hard to work with. what i mean is that you will need to use two hand to close it. i think it because the placed zipper so high to the top of the bag.<br /><br />on the back of the bag there is a zipped compartment for changing pad. it’s a  standard size for skip hop brand  and i believe no bigger or smaller than most others.<br /><br />on the inside there are four pockets that are the same size. you might see from the picture that pockets are reinforced, which i love, because it hold things more secure. it doesn’t have bottle pockets on the inside of the bag. also, i like the color of the inside – its not black so you can find things easier, but not too light to show dirt.  the stroller hooks can be placed on the inside of the bag  when not in use.<br /><br />my other favorite part is – the bag has zipper on top! i don’t have to worry about everything flying out of the bag when i throw it in the car. the stroller hooks can be used even when the bag is closed, another big plus.<br /><br />the hardware is color of yellow gold, and as much as i dislike the yellow gold this particular tone doesn’t bother me.<br />the handles are very comfy.<br /><br />overall i would highly recommend  this bag to anybody who, like me, is looking for a diaper bag that doesn’t look like it. it is very roomy even if it doesn’t look like it. i was between this one and storksak .  skip hop holds same amount or even more and looks nicer.<br />but i do have my concerns: zippers would ne first one (i noticed when you place something in the front pocket it a little easier to close),  i wish the handles were from nylon material instead of faux leather – would last longer, the same can be said about details – i am not sure how long the faux leather will last, i also wish skip hop would add a shoulder strap (but it’s just personal preference)",2/20/2015,90.0
4581,4581,us,28749497,r15thziwxglw4v,b0012e4fv8,833983922,child airplane travel harness - cares safety restraint system - the only faa approved child flying safety device,baby,3,11,12,n,y,then you will find yourself on a flight with a (incorrectly - it should be fine and approved on all aircraft) useless product &,"this is in no way a fault of the product, but please know that even though the faa's own website recommends this product, many airline staff are not familiar with it and will tell you that you cannot use it since it &#34;intrudes&#34; on another passenger's space (by wrapping around the back and linking under their tray table). they may tell you it's a safety issue with the tray table, etc., even though it isn't true. then you will find yourself on a flight with a (incorrectly - it should be fine and approved on all aircraft) useless product & no way to restrain your child.  speak with your airline before flying, get to the airport early & speak with the gate agent, and alert the flight attendants immediately upon boarding that you will be using the device. better yet, print out the link (here: http://www.faa.gov/passengers/fly_children/) from the faa site that mentions this product!",2/18/2015,91.66666666666669
4950,4950,us,35487599,r2ml5mg4ob9gbw,b00342uifi,623322146,dream on me mattress,baby,5,10,10,n,y,exactly what we needed,"ordered this to fit in delta mini crib (http://www.amazon.com/gp/product/b002mzmdx8/ref=cm_cr_ryp_prd_ttl_sol_26). perfect fit, and firm without being rock-solid. even though this is 3&#34; rather than the 2&#34; recommended by the crib manufacturer, the mattress is firm enough and fits snugly enough that i feel confident that it's safe.<br />comparable in firmness to my daughter's full-size firm crib mattress.",2/4/2015,100.0
5410,5410,us,34860350,r1kjv2ag9ti3m3,b00o2vqz1q,491213241,britax parkway sgl g1.1 belt-positioning booster,baby,5,90,99,n,y,best seat i have found.,"wow, now this is a nice seat. after searching store after store for a quality booster, i finally decided to order the britax parkway sgl online since no store around me carried it. this seat latches in securely and the back of the seat is locked in and not going anywhere. my wife bought a couple of cheap graco seats for her car and am always annoyed how they fall apart when you take them out and slide around when no kids are in them. really cool how the back of this seat slides in and will not fall apart when moving. padding is superior to other seats i have looked at.",1/14/2015,90.9090909090909
5414,5414,us,34531170,r2d6974l4pvslb,b00l9nr672,698425294,essential oil diffuser riverock…,baby,1,10,16,n,y,"leaking out the sides, really!?","first use and it is already leaking. somehow water gets trapped below the disk in the bin where you put the water. then it leaks out the sides near the light. ugh, definitely returning!",1/14/2015,62.5
5481,5481,us,46106054,r2q47z550w74ne,b00gsx1xeu,522985813,bright starts walk-a-bout walker,baby,3,60,69,n,y,fair,"i guess i can't complain too bad because the price is fair. it just isn't very easy for baby to maneuver around in. the front wheels are 360 degree but the back ones are only front and back. so, it makes it hard to get around and he gets stuck a lot which is only upsetting to him. so duration of play time in the walker is limited. it's even a pain for me to scoot out of the way because of those back wheels. i usually just pick it up to move it. won't be saving this for next baby!",1/14/2015,86.95652173913044
5508,5508,US,36282904,R1Z3DELNVECBVV,B0057EEC3A,218530709,"philips avent translucent orthodontic infant pacifier, 0-6 months",Baby,1,40,45,N,Y,Mildew in Pacifiers,"While I love the look of these pacifiers and my baby is very comfortable using them, their design is terrible and down right dangerous. These pacifiers cannot be thoroughly cleaned or used by a drooling baby without water/condensation/saliva getting trapped inside. There is no way to effectively dry up this water/condensation as these pacifiers do not come apart. I recently noticed black mildew growing inside all 4 of my babies Avent Translucent Orthodontic Infant Pacifiers. I have since thrown them away. There should never be holes or crevices on these pacifiers to allow for moisture to collect in areas that cannot be effectively cleaned and dried. Very disappointing.",1/13/2015,88.8888888888889
5775,5775,us,17297693,ryuyzss81g6ct,b00khr7oge,497078170,bright starts playtime to bedtime rocking sleeper,baby,5,14,15,n,y,so cute and is perfect for us!,love this bed! i got this for a second bassinet for our house and it is perfect! i love that the entire bassinet part is made of fabric and can be completely cleaned in the washing machine quickly and easily. the colors are so cute and my little one loves the hanging toys. our baby had reflux and can't lay flat to sleep and this bed has an incline that keeps him happy while he sleeps!,1/2/2015,93.33333333333331
5819,5819,us,1650829,r2j7dh2cjv6mra,b00lvmsu0s,222823142,graco pack 'n play playard with automatic folding feet,baby,5,22,23,n,y,i am very happy with the graco pack n play playard,i am very happy with the graco pack n play playard. so easy to set up. my daughter loves it as well. (i purchased it for her),12/31/2014,95.65217391304348
6063,6063,us,35563024,r28rrx0b7bxhnj,b00gm52n0m,51621901,numnum pre-spoon gootensil,baby,5,13,17,n,y,i love these! we do blw and they are perfect ...,"i love these! we do blw and they are perfect for my 7 month old to start with self feeding. i give applesauce on the blue one and yogurt on the orange one. they work so much better for begginers than regular spoons. i have actually purchased two sets. they do discolor slightly, but that is not a big deal.",12/23/2014,76.47058823529412
